"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"77","Q599903","Ireland rugby union team","national rugby union team","1875-02-15",NA,"irl rugby; irlanda rugby; rugbi irlanda; Ireland national rugby team; Ireland national rugby union team; Seleccion de rugby de Irlanda; nazionale irlandese di rugby; RU Ireland; ru irl; RU Irlanda; Iers rugbyteam (mannen); los Verds; los Verds d’Irlanda",NA,"Ireland",NA,NA,"Aviva Stadium","51700",NA,NA,NA,"Ireland_national_rugby_union_team","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Irlanda","Selecci%C3%B3n_de_rugby_de_Irlanda","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"78","Q601366","Vigo RC","rugby union team","1988-01-01",NA,"Vigo Rugby; Rugby Universidade de Vigo; Vigo Rugby Club",NA,"Spain","División de Honor B de Rugby",NA,NA,NA,"Vigo",NA,NA,"Vigo_RC","Vigo_Rugby_Club",NA,"Vigo_Rugby_Club",NA,"http://dbpedia.org/resource/Vigo_RC"
"79","Q603010","Pakistan national rugby union team","national rugby union team",NA,NA,NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Pakistan_national_rugby_union_team","%C3%89quipe_du_Pakistan_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Pakistan",NA,NA,NA
"82","Q609885","Georgia national rugby union team","national rugby union team","1991-11-21",NA,"Tîm rygbi cenedlaethol Georgia; Tîm rygbi cenedlaethol Jeorjia; tîm rygbi'r undeb cenedlaethol Georgia; Tîm rygbi'r undeb cenedlaethol Jeorjia; Georgia rugby takımı; Gürcistan milli rugby takımı; Seleccion de rugby de Georgia; nazionale georgiana di rugby; ru geo; ラグビーグルジア代表; Georgisch rugbyteam (mannen); Gürcistan ragbi takımı; Gürcistan ulusal ragbi takımı",NA,"Georgia",NA,NA,"Dinamo Arena","54549",NA,NA,NA,"Georgia_national_rugby_union_team","%C3%89quipe_de_G%C3%A9orgie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Georgia","Selecci%C3%B3n_de_rugby_de_Georgia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B8%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
"83","Q611331","CR La Vila","rugby union team","1982-02-13",NA,"La Vila; Club de Rugby La Vila",NA,"Spain","División de Honor de Rugby",NA,NA,NA,NA,NA,NA,"CR_La_Vila","Club_de_Rugby_La_Vila",NA,"Club_de_Rugby_La_Vila",NA,"http://dbpedia.org/resource/CR_La_Vila"
"85","Q620948","CR Arquitectura Técnica","rugby union club","1976-01-01",NA,"CRAT; C.R.A.T. Coruña; Club de Rugby Arquitectura Tecnica; C. R. A. T.",NA,"Spain",NA,NA,NA,NA,"A Coruña",NA,"1hf_wf5ms","CR_Arquitectura_T%C3%A9cnica",NA,NA,"Club_de_Rugby_Arquitectura_T%C3%A9cnica",NA,NA
"86","Q622443","Australia national rugby union team","national rugby union team","1899-06-24",NA,"Wallabies; Australië nasionale rugbyspan; Australiese nasionale rugbyspan; منتخب أستراليا الوطني لإتحاد الرجبي; seleición de rugbi d'Australia; Selecció de rugbi d'Austràlia; Selecció de rugbi XV d'Austràlia; Tim cenedlaethol rygbi'r undeb Awstralia; Australische Rugbynationalmannschaft; Australia national rugby team; Australia Rugby; Australia rugby team; Australia rugby union team; Australian national rugby union team; Seleccion de rugby de Australia; Seleccion nacional de rugby de Australia; Selección nacional de rugby de Australia; Equipe d'Australie de rugby a XV; Equipe d'Australie de rugby à XV; Équipe d’Australie de rugby à XV; Sgioba naiseanta rugbaidh Astrailia; Australian Barbarians; Nazionale di rugby australiana; Nazionale di rugby XV dell’Australia; RU AUS; ワラビーズ; 월러비스; 호주 럭비 유니온 국가대표팀; Australisch rugbyteam (mannen); Reprezentacja Australii w rugby mężczyzn; Seleção Australiana de Râguebi; Selecção australiana de râguebi; Echipa naţională de rugby a australiei; 澳大利亚國家橄欖球隊; 澳大利亚橄榄球国家队; 澳洲橄欖球國家隊; 澳洲欖球國家隊; וואלאביס (כינוי); וואלביס (כינוי); נבחרת איגוד הרוגבי הלאומי של אוסטרליה",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Australia_national_rugby_union_team","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Australia","Selecci%C3%B3n_de_rugby_de_Australia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Australia_national_rugby_union_team"
"87","Q624092","Arabian Gulf rugby union team","rugby union team",NA,NA,"Equipe du Golfe Persique de rugby a XV; Équipe du golfe persique de rugby à xv; Nazionale di rugby a 15 del Golfo Arabico; Nazionale di rugby a 15 del Golfo Persico; Nazionale di rugby XV del Golfo Arabico; Selezione di rugby XV del Golfo Arabico; Drużyna Arabian Gulf; Reprezentacja Zatoki Perskiej w rugby mężczyzn; Arugby, Soundos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arabian_Gulf_rugby_union_team","%C3%89quipe_du_golfe_Persique_de_rugby_%C3%A0_XV","Selezione_maschile_di_rugby_a_15_del_Golfo_Persico",NA,"%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%A9%E3%83%93%E3%82%A2%E3%83%B3%E3%82%AC%E3%83%AB%E3%83%95%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Arabian_Gulf_rugby_union_team"
"90","Q635712","Cook Islands national rugby union team","national rugby union team","1971-09-01",NA,"Seleccion de rugby de Islas Cook; nazionale cookese di rugby; nazionale di rugby XV delle Isole Cook",NA,"Cook Islands",NA,NA,"National Stadium","5000",NA,NA,NA,"Cook_Islands_national_rugby_union_team","%C3%89quipe_des_%C3%8Eles_Cook_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Isole_Cook","Selecci%C3%B3n_de_rugby_de_Islas_Cook",NA,NA
"91","Q635725","Saint Lucia national rugby union team","national rugby union team",NA,NA,"Equipe de Sainte-Lucie de rugby a XV; The Lucians",NA,"Saint Lucia",NA,NA,NA,NA,NA,NA,NA,"Saint_Lucia_national_rugby_union_team","%C3%89quipe_de_Sainte-Lucie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Saint_Lucia","Selecci%C3%B3n_de_rugby_de_Santa_Luc%C3%ADa",NA,"http://dbpedia.org/resource/Saint_Lucia_national_rugby_union_team"
"93","Q637392","Tahiti national rugby union team","national rugby union team",NA,NA,"Equipe de Tahiti de rugby a XV; Nazionale di rugby XV di Tahiti",NA,"France",NA,NA,NA,NA,NA,NA,NA,"Tahiti_national_rugby_union_team","%C3%89quipe_de_Tahiti_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Tahiti","Selecci%C3%B3n_de_rugby_de_Tahit%C3%AD",NA,NA
"94","Q637404","Guam national rugby union team","national rugby union team",NA,NA,"Guam national rugby team; Equipe de Guam de rugby a XV; Nazionale di rugby XV di Guam",NA,"U.S.A.",NA,NA,"Wettengel Rugby Field",NA,NA,NA,NA,"Guam_national_rugby_union_team","%C3%89quipe_de_Guam_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Guam",NA,NA,NA
"95","Q637436","Vanuatu national rugby union team","national rugby union team",NA,NA,"Equipe de Vanuatu de rugby a XV; Nazionale di rugby XV di Vanuatu",NA,"Vanuatu",NA,NA,NA,NA,NA,NA,NA,"Vanuatu_national_rugby_union_team","%C3%89quipe_du_Vanuatu_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Vanuatu",NA,NA,NA
"96","Q637445","Solomon Islands national rugby union team","national rugby union team",NA,NA,"Équipe des Îles Salomon; Equipe des Iles Salomon de rugby a XV; Équipe des Îles Salomon.; Nazionale di rugby XV delle Isole Salomone",NA,"Solomon Islands",NA,NA,NA,NA,NA,NA,NA,"Solomon_Islands_national_rugby_union_team","%C3%89quipe_des_%C3%8Eles_Salomon_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_delle_Isole_Salomone",NA,"%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%BD%E3%83%AD%E3%83%A2%E3%83%B3%E8%AB%B8%E5%B3%B6%E4%BB%A3%E8%A1%A8",NA
"97","Q637465","Papua New Guinea national rugby union team","national rugby union team","1966-12-01",NA,"Seleccion de rugby de Papua Nueva Guinea; Equipe de Papouasie-Nouvelle-Guinee de rugby a XV; nazionale di rugby a 15 della Papua Nuova Guinea; Nazionale di rugby XV della Papua Nuova Guinea",NA,"Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,"Papua_New_Guinea_national_rugby_union_team","%C3%89quipe_de_Papouasie-Nouvelle-Guin%C3%A9e_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Papua_Nuova_Guinea","Selecci%C3%B3n_de_rugby_de_Pap%C3%BAa_Nueva_Guinea",NA,NA
"101","Q646070","Argentina national rugby union team","national rugby union team","1910-06-12",NA,"Pumas; Argentinië nasionale rugbyspan; Argentinië se nasionale rugbyspan; Selecció de rugbi d'Argentina; Pumy; Tim rygbi'r undeb cenedlaethol Ariannin; Seleccion de rugby de Argentina; Seleccion de rugby de la Argentina; Selección de rugby de la Argentina; Seleccion nacional de rugby de Argentina; Selección nacional de rugby de Argentina; Sgioba naiseanta rugbaidh na h-Argantain; Nazionale di rugby XV dell’Argentina; ru arg; Argentijns rugbyteam (mannen); Reprezentacja Argentyny w rugby; Reprezentacja Argentyny w rugby mężczyzn; Seleção Argentina de Râguebi; Seleção argentina de rugby; Selecção argentina de râguebi; Echipa naţională de rugby a argentinei; Echipa națională de rugby a argentinei",NA,"Argentina",NA,NA,"José Amalfitani Stadium",NA,NA,NA,NA,"Argentina_national_rugby_union_team","%C3%89quipe_d%27Argentine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Argentina","Selecci%C3%B3n_de_rugby_de_Argentina","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%AB%E3%82%BC%E3%83%B3%E3%83%81%E3%83%B3%E4%BB%A3%E8%A1%A8",NA
"102","Q650503","Krasny Yar Krasnoyarsk","rugby union club","1969-01-01",NA,"Krasny Yar; Krasnyj Jar Krasnojarsk; クラスニヤール; Регбийный клуб Красный Яр Красноярск",NA,"Russia",NA,NA,NA,NA,"Krasnoyarsk",NA,NA,"Krasny_Yar_Krasnoyarsk","Krasny_Yar_Krasnojarsk",NA,NA,"%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%8B%E3%83%A4%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%B9%E3%83%8E%E3%83%A4%E3%83%AB%E3%82%B9%E3%82%AF","http://dbpedia.org/resource/Krasny_Yar_Krasnoyarsk"
"107","Q666949","Mongolia national rugby union team","national rugby union team",NA,NA,"Mongolian national rugby union team",NA,"Mongolia",NA,NA,NA,NA,NA,NA,NA,"Mongolia_national_rugby_union_team","%C3%89quipe_de_Mongolie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Mongolia",NA,NA,"http://dbpedia.org/resource/Mongolia_national_rugby_union_team"
"108","Q670755","Switzerland national rugby union team","national rugby union team","1973-04-11",NA,"El XV de la flor de las nieves; Nazionale di rugby XV della Svizzera; ru che; ru svi",NA,"Switzerland",NA,NA,NA,NA,NA,NA,NA,"Switzerland_national_rugby_union_team","%C3%89quipe_de_Suisse_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Svizzera","Selecci%C3%B3n_de_rugby_de_Suiza",NA,NA
"110","Q674994","Macau national rugby union team","national rugby union team",NA,NA,NA,NA,"Macau",NA,NA,NA,NA,NA,NA,NA,"Macau_national_rugby_union_team","%C3%89quipe_de_Macao_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Macao",NA,NA,"http://dbpedia.org/resource/Macau_national_rugby_union_team"
"112","Q675856","Cyprus national rugby union team","national rugby union team","2007-03-24",NA,"The Mighty Mouflons; Τα Αγρινά",NA,"Cyprus",NA,NA,NA,NA,NA,NA,NA,"Cyprus_national_rugby_union_team","%C3%89quipe_de_Chypre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Cipro",NA,NA,"http://dbpedia.org/resource/Cyprus_national_rugby_union_team"
"113","Q684546","Armenia national rugby union team","national rugby union team",NA,NA,"Equipe d'Armenie de rugby a XV; Équipe d'arménie de rugby à xv; Nazionale di rugby XV dell'Armenia",NA,"Armenia",NA,NA,NA,NA,NA,NA,NA,"Armenia_national_rugby_union_team","%C3%89quipe_d%27Arm%C3%A9nie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Armenia",NA,NA,"http://dbpedia.org/resource/Armenia_national_rugby_union_team"
"115","Q692299","Ordizia RE","rugby union club","1973-01-01",NA,"AMPO Ordizia; Ordizia Rugby Elkartea",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Ordizia_RE","Ordizia_Rugby_Elkartea",NA,"Ordizia_Rugby_Elkartea","%E3%82%AA%E3%83%AB%E3%83%87%E3%82%A3%E3%82%B7%E3%82%A2RE","http://dbpedia.org/resource/Ordizia_RE"
"116","Q695374","Germany national rugby union team","national rugby union team","1927-04-17",NA,"Duitsland nasionale rugbyspan; Oos-Duitsland nasionale rugbyspan; Wes-Duitsland nasionale rugbyspan; seleccion de rugby de Alemania; nazionale di rugby a 15 della Germania Ovest; Nazionale di rugby XV della Germania; ru brd; ru deu; ru frg; ru ger; シュワルツェ・アドラー; დასავლეთ გერმანიის მორაგბეთა ეროვნული ნაკრები; Reprezentacja Niemiec w rugby mężczyzn; Seleção Alemã de Râguebi",NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"Germany_national_rugby_union_team","%C3%89quipe_d%27Allemagne_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Germania","Selecci%C3%B3n_de_rugby_de_Alemania","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%89%E3%82%A4%E3%83%84%E4%BB%A3%E8%A1%A8",NA
"117","Q714402","Chinese Taipei national rugby union team","national rugby union team","1969-03-14",NA,"équipe de Taïwan de rugby à XV; nazionale di rugby a 15 di Taiwan; Nazionale di rugby XV di Taiwan; Сборная Китайского Тайбэя по регби; 中華台北國家橄欖球隊; 中華臺北橄欖球代表隊; Сборная Китайской Республики по регби",NA,"Taiwan",NA,NA,NA,NA,NA,NA,NA,"Chinese_Taipei_national_rugby_union_team","%C3%89quipe_de_Taipei_chinois_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Taipei_cinese","Selecci%C3%B3n_de_rugby_de_China_Taip%C3%A9i","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%A3%E3%82%A4%E3%83%8B%E3%83%BC%E3%82%BA%E3%82%BF%E3%82%A4%E3%83%9A%E3%82%A4%E4%BB%A3%E8%A1%A8",NA
"118","Q733600","British & Irish Lions","rugby union team","1888-01-01",NA,"British Lions; The British and Irish Lions; Seleccion de rugby de los Leones Britanico-irlandeses; Leoni britannico-irlandesi; 不列顛和愛爾蘭雄獅; 英國和愛爾蘭雄獅隊; 英國與愛爾蘭獅子; 英愛之獅; The Lions",NA,"Ireland",NA,NA,NA,NA,"Dublin",NA,NA,"British_%26_Irish_Lions","%C3%89quipe_des_Lions_britanniques_et_irlandais_de_rugby_%C3%A0_XV","British_and_Irish_Lions","Leones_Brit%C3%A1nicos_e_Irlandeses","%E3%83%96%E3%83%AA%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA","http://dbpedia.org/resource/British_&_Irish_Lions"
"121","Q744636","Natal Sharks","rugby union team","1890-01-01",NA,"ナタール・シャークス; Sharks (Currie Cup); Sharks","South African Rugby Union","South Africa","Currie Cup",NA,"Kings Park Stadium","52000","Durban",NA,NA,"Sharks_(Currie_Cup)","Natal_Sharks","Natal_Sharks","Natal_Sharks","%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9_(%E3%82%AB%E3%83%AA%E3%83%BC%E3%82%AB%E3%83%83%E3%83%97)","http://dbpedia.org/resource/Sharks_(Currie_Cup)"
"124","Q749756","Junior All Blacks","second national rugby union teams","2005-06-26",NA,"All Blacks XV; Nuova Zelanda A rugby",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"All_Blacks_XV",NA,"Nazionale_A_di_rugby_a_15_della_Nuova_Zelanda","All_Blacks_XV","%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%82%B9XV","http://dbpedia.org/resource/All_Blacks_XV"
"127","Q764951","Grupo Dramático e Sportivo Cascais","rugby union team",NA,NA,"Grupo Dramatico e Sportivo Cascais; GDS Cascais",NA,"Portugal",NA,NA,NA,NA,NA,NA,NA,"Grupo_Dram%C3%A1tico_e_Sportivo_Cascais","Grupo_Dram%C3%A1tico_e_Sportivo_Cascais",NA,NA,NA,"http://dbpedia.org/resource/Grupo_Dramático_e_Sportivo_Cascais"
"128","Q774221","Canada national rugby union team","national rugby union team","1932-01-31",NA,"Canada rugby union; tîm rygbi Canada; tîm rygbi'r undeb Canada; tîm rygbi'r undeb cenedlaethol Canada; Canada national rugby union; Canada rugby union team; Seleccion de rugby de Canada; nazionale canadese di rugby; ru can; Canadees rugbyteam (mannen)",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Canada_national_rugby_union_team","%C3%89quipe_du_Canada_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Canada","Selecci%C3%B3n_de_rugby_de_Canad%C3%A1","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AB%E3%83%8A%E3%83%80%E4%BB%A3%E8%A1%A8",NA
"130","Q786742","Guatemala national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de Guatemala; Jaguares",NA,"Guatemala",NA,NA,NA,NA,NA,NA,NA,"Guatemala_national_rugby_union_team","%C3%89quipe_du_Guatemala_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Guatemala","Selecci%C3%B3n_de_rugby_de_Guatemala",NA,"http://dbpedia.org/resource/Guatemala_national_rugby_union_team"
"132","Q791369","Battai Bulldogok RK","rugby union team","1989-01-01",NA,"Battai Bulldogok; Bulldogok (Bulldogs); Battai Bulldogok Rögbi Klub; Bulldogok",NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Battai_Bulldogok_RK",NA,NA,NA,NA,"http://dbpedia.org/resource/Battai_Bulldogok_RK"
"134","Q794479","Canada national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Canada_national_under-20_rugby_union_team","%C3%89quipe_du_Canada_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,NA,"U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AB%E3%83%8A%E3%83%80%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Canada_national_under-20_rugby_union_team"
"136","Q807749","Barbarian FC","rugby union club","1890-01-01",NA,"Barbarian F.C.; Barbarians FC; Barbarian Football Club; Barbariqan FC; Barbarian R.F.C.; Barbarian RFC; Barbarian Rugby Football Club; Barbarians; Barbarians F.C.; Barbarians Football Club; Barbarians R.F.C.; Barbarians RFC; Barbarians Rugby Football Club; Baa-Baas",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Barbarian_F.C.","Barbarians","Barbarian_Football_Club","Barbarian_F.C.","%E3%83%90%E3%83%BC%E3%83%90%E3%83%AA%E3%82%A2%E3%83%B3%E3%82%BA","http://dbpedia.org/resource/Barbarian_F.C."
"137","Q810436","Basque Korsarioak","rugby union team","2009-01-01",NA,"Euskadi Korsarioak",NA,"Spain",NA,NA,"Miniestadio de Anoeta",NA,NA,NA,"121gpnfq",NA,"Basque_Korsarioak",NA,"Basque_Korsarioak",NA,NA
"140","Q820052","RC Leipzig","rugby union team","2003-01-01",NA,"Rugby Club Leipzig; Rugby Club Leipzig e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Leipzig",NA,NA,"RC_Leipzig","RC_Leipzig",NA,NA,NA,"http://dbpedia.org/resource/RC_Leipzig"
"141","Q822335","Hamburger RC","rugby union club","1950-01-01",NA,"Hamburger Rugby Club (HRC); Hamburger Rugby Club von 1950 e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"Hamburger_RC","Hamburger_Rugby-Club","Hamburger_Rugby_Club",NA,NA,"http://dbpedia.org/resource/Hamburger_RC"
"142","Q822616","SC Germania List","rugby union club","1900-01-01",NA,"Sport Club Germania List Hannover e.V. 1900",NA,"Germany","2. Rugby-Bundesliga",NA,NA,NA,"Hanover",NA,NA,"SC_Germania_List","SC_Germania_List",NA,NA,NA,"http://dbpedia.org/resource/SC_Germania_List"
"143","Q822877","Wales national rugby union team","national rugby union team","1881-02-19",NA,"Wales rugby union; Wallis nasionale rugbyspan; seleición de rugbi de Gales; Gal·les rugby; rugbi Gal·les; Cymru national rugby union team; Tim Cenedlaethol Rygbi'r Undeb Cymru; Tim Rygbi Cymru; Wales Rugby Team; Wales national rugby; Wales national rugby union; Wales Rugby; Wales rugby union team; Red Dragons; Seleccion de rugby de Gales; Seleccion de rugby de Pais de Gales; Selección de rugby de País de Gales; Seleccion nacional de rugby de Gales; Selección nacional de rugby de Gales; Equipe du pays de Galles de rugby a XV; XV du Poireau; Foireann náisiúnta rugbaí na Breataine Bige; Foireann naisiunta rugbai na mBhreatain Bheag; Sgioba naiseanta rugbaidh na Cuimrigh; Nazionale di rugby XV del Galles; nazionale gallese di rugby; RU WAL; RU Wales; Welsh rugbyteam (mannen); Reprezentacja Walii w rugby mężczyzn; Seleção Galesa de Râguebi; Selecção galesa de râguebi; Echipa naţională de rugby a Ţării Galilor; los Roges de Galas",NA,"United Kingdom",NA,NA,"Millennium Stadium",NA,"Cardiff",NA,NA,"Wales_national_rugby_union_team","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Galles","Selecci%C3%B3n_de_rugby_de_Gales","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%AB%E3%82%BA%E4%BB%A3%E8%A1%A8",NA
"144","Q822920","Stahl Hennigsdorf Rugby","rugby union club","1948-01-01",NA,"BSG Stahl Hennigsdorf; FC Stahl Hennigsdorf; Stahl Hennigsdorf; Sport Verein Stahl Hennigsdorf Rugby e.V. 1948",NA,"Germany",NA,NA,NA,NA,"Hennigsdorf",NA,NA,"Stahl_Hennigsdorf_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Stahl_Hennigsdorf_Rugby"
"145","Q828527","RK 03 Berlin","rugby union team","2003-01-01",NA,"RK 03; Rugby-Klub 03 Berlin; Rugbyklub 03 Berlin; Berlin RK; Rugby Klub 03 Berlin",NA,"Germany","Rugby-Bundesliga",NA,"Stadium Buschallee",NA,NA,NA,NA,"RK_03_Berlin","Rugby_Klub_03_Berlin",NA,NA,NA,"http://dbpedia.org/resource/RK_03_Berlin"
"146","Q831529","DRC Hannover","rugby union club","1905-01-01",NA,"Deutscher Rugby Club Hannover",NA,"Germany","2. Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"DRC_Hannover","Deutscher_Rugby_Club_Hannover",NA,NA,NA,"http://dbpedia.org/resource/DRC_Hannover"
"147","Q832774","Heidelberger TV","rugby union club","1846-01-01",NA,"Heidelberger Turnverein; Heidelberger Turnverein 1846; Heidelberger Turnverein 1846 e. V.; Heidelberger Turnverein 1846 e.V.; Heidelberger TV 1846; Heidelberger TV 1846 e. V.; Heidelberger TV 1846 e.V.; Heidelberger Trans RFC",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Heidelberg",NA,NA,"Heidelberger_TV","Heidelberger_TV",NA,NA,NA,"http://dbpedia.org/resource/Heidelberger_TV"
"148","Q833432","DSV 78 Hannover","rugby union club","1878-01-01",NA,"DSV 1878 Hannover; DSV Hannover 78; Hannover 78; Deutscher Sportverein 1878 Hannover e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Hanover",NA,NA,"DSV_78_Hannover","DSV_78_Hanovre",NA,NA,NA,"http://dbpedia.org/resource/DSV_78_Hannover"
"149","Q834120","SC Neuenheim","rugby union club","1902-01-01",NA,"Sportclub Neuenheim 02 e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"SC_Neuenheim","SC_Neuenheim",NA,NA,NA,"http://dbpedia.org/resource/SC_Neuenheim"
"153","Q869651","TSV Victoria Linden","rugby union club","1900-01-01",NA,"Turn und Sportverein Victoria Linden e.V.",NA,"Germany","2. Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"TSV_Victoria_Linden","TSV_Victoria_Linden",NA,NA,NA,"http://dbpedia.org/resource/TSV_Victoria_Linden"
"154","Q870753","Rudergesellschaft Heidelberg 1898","rugby union team","1898-01-01",NA,"RG Heidelberg; Rudergesellschaft Heidelberg; Rudergesellschaft Heidelberg 1898 e. V.",NA,"Germany","Rugby-Bundesliga",NA,"Fritz-Grunebaum-Sportpark","5000","Heidelberg",NA,NA,"RG_Heidelberg","RG_Heidelberg",NA,NA,NA,"http://dbpedia.org/resource/RG_Heidelberg"
