"","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
"1429","Q6435053","Kowloon RFC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kowloon_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Kowloon_RFC"
"1430","Q6435992","Kraljevski Beogradski Ragbi Klub","rugby union team","2014-01-01","Royal Belgrade Rugby Club; ; Краљевски Београдски Рагби Клуб",NA,NA,"Serbia",NA,NA,NA,NA,NA,NA,NA,"Royal_Belgrade_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Royal_Belgrade_Rugby_Club"
"1432","Q6445259","Kuopio RC","rugby union team",NA,"Kuopio Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kuopio_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Kuopio_RC"
"1433","Q6457199","LA Rugby Club","rugby union club","1958-01-01","Los Angeles Rugby Club; Los Angeles Rugby Club (LARC)",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Los_Angeles_Rugby_Club","Los_Angeles_Rugby",NA,NA,NA,"http://dbpedia.org/resource/Los_Angeles_Rugby_Club"
"1434","Q6473410","Lahore Rugby Football Club","rugby union team","1991-01-01","Lahore RFC",NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Lahore_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Lahore_Rugby_Football_Club"
"1441","Q6501981","Lausanne Football Club","rugby union team","1867-01-01","Lausanne F.C.; Lausanne",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Lausanne_F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Lausanne_F.C."
"1442","Q6503040","Law FC","rugby union team","1870-01-01","The Law Club; Law Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Law_FC",NA,NA,NA,NA,"http://dbpedia.org/resource/Law_FC"
"1447","Q6522850","Lennox Football Club","rugby union team","1883-01-01",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Lennox_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Lennox_Football_Club"
"1448","Q6529511","Les Gaillards","rugby union team","2004-01-01","Les Gaillards Paris Rugby Club",NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,"Les_Gaillards",NA,NA,NA,NA,"http://dbpedia.org/resource/Les_Gaillards"
"1453","Q6548897","Limassol Crusaders","rugby union team",NA,"Limassol Crusaders Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limassol_Crusaders",NA,NA,NA,NA,"http://dbpedia.org/resource/Limassol_Crusaders"
"1455","Q6552410","Lindenwood Lions men's rugby","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Lindenwood_Lions_men%27s_rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Lindenwood_Lions_men's_rugby"
"1457","Q6554550","Linna RC","rugby union team","2011-01-01","Linna Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linna_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Linna_RC"
"1459","Q6658676","Liversedge RFC","rugby union team","1877-01-01",NA,"1906-01-01",NA,"United Kingdom",NA,NA,"King George V playing field, Liversedge; Whitcliffe",NA,NA,NA,NA,"Liversedge_RFC",NA,NA,NA,NA,NA
"1476","Q6668737","Lokomotiv RFC","rugby union team",NA,NA,NA,NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"Lokomotiv_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Lokomotiv_RFC"
"1480","Q6682316","Los Angeles Rebellion","rugby union team","2001-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Los_Angeles_Rebellion",NA,NA,NA,NA,NA
"1497","Q6744419","Malmö RC","rugby union club","1954-01-01","Malmö Rugby Club",NA,NA,"Sweden",NA,NA,NA,NA,NA,NA,NA,"Malm%C3%B6_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Malmö_RC"
"1499","Q6749968","Manitoba Buffalo","rugby union team",NA,"Manitoba Buffalo Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Manitoba_Buffalo",NA,NA,NA,NA,"http://dbpedia.org/resource/Manitoba_Buffalo"
"1501","Q6764383","Mariners RFC","rugby union team",NA,"Mariners Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Mariners_RFC"
"1504","Q6765696","Marist St. Joseph","rugby union club",NA,"Marist St. Joseph Sports Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marist_St._Joseph",NA,NA,NA,NA,"http://dbpedia.org/resource/Marist_St._Joseph"
"1506","Q6771676","Marlborough Nomads","rugby union team","1868-01-01","Marlborough Nomads Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Marlborough_Nomads","Marlborough_Nomads",NA,NA,NA,"http://dbpedia.org/resource/Marlborough_Nomads"
"1508","Q6773260","Marseille Provence XV","rugby union team","2000-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Marseille",NA,NA,"Marseille_Provence_XV",NA,NA,NA,NA,"http://dbpedia.org/resource/Marseille_Provence_XV"
"1509","Q6781322","Maryland Exiles","rugby union club","1993-01-01","Maryland Exiles Rugby Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Maryland_Exiles",NA,NA,NA,NA,"http://dbpedia.org/resource/Maryland_Exiles"
"1510","Q6803583","Mean Machine RFC","rugby union team",NA,"Machine (Eschuma).; Mean Machine; Mean Machine Rugby Football Club",NA,NA,"Kenya",NA,NA,NA,NA,"Nairobi",NA,NA,"Mean_Machine_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Mean_Machine_RFC"
"1512","Q6807390","Medvék RK","rugby union team","2003-01-01","Medvék (Bears); Medvék Rögbi Klub",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Medv%C3%A9k_RK",NA,NA,NA,NA,"http://dbpedia.org/resource/Medvék_RK"
"1516","Q6818468","Merchistonian FC","rugby union team",NA,"Merchistonian Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Merchistonian_FC","Merchistonian_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Merchistonian_FC"
"1519","Q6841755","Middlebury College Rugby Club","rugby union club","1972-01-01","Middlebury; The Middlebury College Rugby Club",NA,NA,"U.S.A.",NA,NA,NA,NA,"Middlebury",NA,NA,"Middlebury_College_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Middlebury_College_Rugby_Club"
"1522","Q6844162","Mighty Minnows","rugby union team",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Mighty_Minnows",NA,NA,NA,NA,NA
"1524","Q6868001","Minneapolis Mayhem","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Minneapolis_Mayhem",NA,NA,NA,NA,NA
"1527","Q6894166","Mohicans Football Club","rugby union team","1869-01-01","Mohicans",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Mohicans_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Mohicans_Football_Club"
"1531","Q6901115","Monmouth Rugby Club","rugby union team","1973-01-01","Monmouth Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Monmouth_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Monmouth_Rugby_Club"
"1534","Q6906248","Montreal Barbarians","rugby union team",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Montreal_Barbarians",NA,NA,NA,NA,NA
"1535","Q6906280","Montreal Football Club","rugby union team",NA,NA,"1915-01-01",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Montreal_Football_Club",NA,NA,NA,NA,NA
"1536","Q6906344","Montreal Wanderers RFC","rugby union club",NA,"Montreal Wanderers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montreal_Wanderers_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Montreal_Wanderers_RFC"
"1537","Q6911569","Morgan Academy RFC","rugby union team",NA,"Morgan Rugby Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Morgan_Academy_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Morgan_Academy_RFC"
"1548","Q6944635","Mwamba RFC","rugby union team","1977-01-01","Mwamba Rugby Football Club",NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,"Mwamba_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Mwamba_RFC"
"1549","Q6948969","Mystic River Rugby Club","rugby union team","1974-01-01","Mystic River Rugby",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Mystic_River_Rugby_Club","Mystic_River_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Mystic_River_Rugby_Club"
"1550","Q6955430","NS Wanderers RC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NS_Wanderers_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/NS_Wanderers_RC"
"1551","Q6955480","NTNUI Rugby","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTNUI_Rugby",NA,NA,NA,NA,NA
"1558","Q6966973","Nashville Grizzlies RFC","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Nashville_Grizzlies_RFC",NA,NA,NA,NA,NA
"1564","Q7006128","New Brunswick Timber","rugby union team",NA,"Black Spruce Rugby",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"New_Brunswick_Timber",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Brunswick_Timber"
"1565","Q7008541","New Haven Old Black RFC","rugby union team","1986-01-01","New Haven Old Black Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"New_Haven_Old_Black_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Haven_Old_Black_RFC"
"1566","Q7010784","New Orleans Rugby Football Club","rugby union team","1973-01-01","NORFC",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"New_Orleans_Rugby_Football_Club","New_Orleans_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/New_Orleans_Rugby_Football_Club"
"1569","Q7015235","New Zealand Barbarians","rugby union club","1937-01-01",NA,NA,NA,"New Zealand",NA,NA,NA,NA,"Kingsland",NA,NA,"New_Zealand_Barbarians","Barbarians_de_la_Nouvelle-Z%C3%A9lande",NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_Barbarians"
"1570","Q7015419","New Zealand Heartland XV","national rugby union team",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_Heartland_XV",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_Heartland_XV"
"1571","Q7016264","New Zealand national under-19 rugby union team","rugby union team",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_under-19_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_national_under-19_rugby_union_team"
"1572","Q7016267","New Zealand national under-21 rugby union team","rugby union team",NA,"Colts (formerly)",NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_under-21_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_national_under-21_rugby_union_team"
"1573","Q7016275","New Zealand national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_under-20_rugby_union_team","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Nueva_Zelanda","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/New_Zealand_national_under-20_rugby_union_team"
"1581","Q7048433","Nomads R.F.C.","rugby union team","1989-01-01","Nomads RFC; Nomads Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nomads_R.F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Nomads_R.F.C."
"1583","Q7049259","Nondescripts RFC","rugby union team",NA,"Nondescripts; Nondescripts Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nondescripts_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Nondescripts_RFC"
"1584","Q7050995","Norfolk Blues","rugby union team",NA,"Norfolk City Blues RFC; Norfolk City Blues Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Norfolk_Blues",NA,NA,NA,NA,"http://dbpedia.org/resource/Norfolk_Blues"
"1591","Q7057169","North Wales rugby","rugby union team",NA,"North Wales; North Wales Rugby Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North_Wales_rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/North_Wales_rugby"
"1594","Q7058067","Northeastern University Rugby Club","rugby union team","1984-01-01","Northeastern Rugby Club; Northeastern University Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,"Brookline",NA,NA,"Northeastern_University_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Northeastern_University_Rugby_Club"
"1598","Q7059701","Norths Devils","rugby union club","1891-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Norths_Devils",NA,NA,NA,NA,NA
"1599","Q7063469","Notre Dame Rugby Football Club","rugby union team","1961-01-01","Notre Dame",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Notre_Dame_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Notre_Dame_Rugby_Football_Club"
"1601","Q7064135","Nova Scotia Keltics","rugby union team",NA,"Nova Scotia Keltics Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Nova_Scotia_Keltics",NA,NA,NA,NA,"http://dbpedia.org/resource/Nova_Scotia_Keltics"
"1605","Q7074227","Oakthorpe Invitational","rugby union team",NA,"Oakthorpe Invitational Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Oakthorpe_Invitational"
"1607","Q7083490","Old Blue R.F.C.","rugby union team","1963-01-01","Old Blue RFC; Old Blue Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Old_Blue_R.F.C.","Old_Blue_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Old_Blue_R.F.C."
"1611","Q7083657","Old Christians Club","rugby union club","1692-12-01",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Old_Christians_Club","Old_Christians_Club","Old_Christians_Club","Old_Christians_Club","%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%89%E3%83%BB%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%86%E3%82%A3%E3%82%A2%E3%83%B3%E3%82%B9%E3%83%BB%E3%82%AF%E3%83%AB%E3%83%96","http://dbpedia.org/resource/Old_Christians_Club"
"1615","Q7084108","Old Gold Rugby","rugby union club","1974-01-01","Old Gold Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Old_Gold_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Gold_Rugby"
"1623","Q7085172","Old Swinford Hospital RFC","rugby union club",NA,"Old Swinford Hospital RFUC",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Old_Swinford_Hospital_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Swinford_Hospital_RFC"
"1628","Q7089249","Olympus Rugby XV Madrid","rugby union team","2009-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Olympus_Rugby_XV_Madrid",NA,NA,"Olympus_Rugby_XV_Madrid",NA,"http://dbpedia.org/resource/Olympus_Rugby_XV_Madrid"
"1629","Q7094611","Ontario Blues","rugby union team",NA,"Ontario Blues Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ontario_Blues","Ontario_Blues",NA,NA,NA,"http://dbpedia.org/resource/Ontario_Blues"
"1630","Q7094889","Ontario Rugby Union","rugby union club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Ontario_Rugby_Union","Ontario_Rugby_Union",NA,NA,NA,NA
"1631","Q7107044","Oslo RK","rugby union team","1964-01-01","Oslo Rugbyklubb; Oslo Rugby Klubb",NA,NA,"Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Oslo_RK"
"1633","Q7109183","Ottawa Harlequins","rugby union team",NA,"Ottawa Harlequins Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Ottawa_Harlequins",NA,NA,NA,NA,"http://dbpedia.org/resource/Ottawa_Harlequins"
"1634","Q7109277","Ottawa Wolves RFC","rugby union team",NA,"Ottawa Wolves; Ottawa Wolves Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ottawa_Wolves",NA,NA,NA,NA,"http://dbpedia.org/resource/Ottawa_Wolves"
"1635","Q7113927","Overseas RUFC","rugby union team","1946-01-01","Overseas Rugby Union Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overseas_RUFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Overseas_RUFC"
"1636","Q7113937","Overseas Unions rugby union team","national rugby union team",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Five_Nations_XV_v_Overseas_Unions_XV",NA,NA,NA,NA,NA
"1638","Q7122744","Pacific Tyee","rugby union team","2009-01-01","BC Bears",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"BC_Bears","British_Columbia_Bears",NA,NA,NA,"http://dbpedia.org/resource/BC_Bears"
"1642","Q7132791","Paphos Tigers","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paphos_Tigers",NA,NA,NA,NA,NA
"1644","Q7141560","Pasadena Rugby Football Club","rugby union team","1971-01-01","Pasadena RFC",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Pasadena_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Pasadena_Rugby_Football_Club"
"1645","Q7142896","Past Brothers","rugby union club","1929-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Past_Brothers",NA,NA,NA,NA,NA
"1655","Q7165431","Penzance RFC","rugby union team","1876-01-01","Penzance Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Penzance_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Penzance_RFC"
"1662","Q7182849","Philadelphia Whitemarsh RFC","rugby union team","1985-01-01","Philadelphia - Whitemarsh RFC; Philadelphia - Whitemarsh Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Philadelphia_Whitemarsh_RFC","Philadelphia_Whitemarsh_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Philadelphia_Whitemarsh_RFC"
"1665","Q7209799","Polis Egaleo Rugby","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polis_Egaleo_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Polis_Egaleo_Rugby"
"1678","Q7232030","Portland Rugby Football Club","rugby union club",NA,"Portland Rugby Football Club (Maine); Portland RFC",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Portland_Rugby_Football_Club_(Maine)",NA,NA,NA,NA,"http://dbpedia.org/resource/Portland_Rugby_Football_Club_(Maine)"
"1679","Q7232031","Portland Rugby Football Club","rugby union club","1961-01-01","Portland Rugby Football Club (Oregon); Portland",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Portland_Rugby_Football_Club_(Oregon)",NA,NA,NA,NA,"http://dbpedia.org/resource/Portland_Rugby_Football_Club_(Oregon)"
"1683","Q7232856","Porvoo RC","rugby union team",NA,"Old Town Shamrocks Porvoo RC; Old Town Shamrocks Porvoo Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porvoo_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Porvoo_RC"
"1684","Q7235040","Potomac Athletic Club RFC","rugby union team","1988-01-01","Potomac Athletic Club Rugby Team",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Potomac_Athletic_Club_RFC","Potomac_Athletic_Club_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Potomac_Athletic_Club_RFC"
"1685","Q7238028","Prairie Wolf Pack","rugby union team",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Prairie_Wolf_Pack","Prairie_Wolf_Pack",NA,NA,NA,"http://dbpedia.org/resource/Prairie_Wolf_Pack"
"1689","Q7244380","Prince of Wales Country Club","rugby union club","1925-01-01",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,NA,"Prince_of_Wales_Country_Club",NA,NA,"Prince_of_Wales_Country_Club_(Rugby)",NA,NA
"1690","Q7245002","Princeton Rugby","rugby union club","1876-01-01","Princeton University RFC; Tigers; Princeton University Rugby Football Club",NA,NA,"U.S.A.","Ivy Rugby Conference",NA,NA,NA,NA,NA,NA,"Princeton_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Princeton_Rugby"
"1691","Q7252475","Providence Rugby","rugby union club",NA,"Providence RFC; Providence Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Providence_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Providence_Rugby"
"1692","Q7257573","Public School Wanderers","rugby union team",NA,"Public School Wanderers Rugby and Cricket Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Public_School_Wanderers",NA,NA,NA,NA,"http://dbpedia.org/resource/Public_School_Wanderers"
"1693","Q7260313","Punjab Warriors","rugby union team",NA,"Punjab Warriors (Pakistani rugby team)",NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Punjab_Warriors_(Pakistani_rugby_team)",NA,NA,NA,NA,"http://dbpedia.org/resource/Punjab_Warriors_(Pakistani_rugby_team)"
"1696","Q7264653","Pécsi Indiánok SK","rugby union team","1996-01-01","Indiánok (Indians); Pécsi Indiánok; Pécsi Indiánok Rögbi Klub",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"P%C3%A9csi_Indi%C3%A1nok_SK",NA,NA,NA,NA,"http://dbpedia.org/resource/Pécsi_Indiánok_SK"
"1698","Q7269756","Quebec Caribou","rugby union team",NA,"Quebec Caribou Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Quebec_Caribou",NA,NA,NA,NA,"http://dbpedia.org/resource/Quebec_Caribou"
"1699","Q7270016","Queen's House Football Club","rugby union team","1867-01-01","Queen's House",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Queen%27s_House_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Queen's_House_Football_Club"
"1702","Q7276157","RC Aia","rugby union team",NA,"RC Aia Kutaisi; Rugby Club Aia Kutaisi",NA,NA,"Georgia",NA,NA,"Aia Arena",NA,"Kutaisi",NA,"11gdgrqj90","RC_Aia_Kutaisi","Rugby_Club_Aia",NA,NA,"RC%E3%82%A2%E3%82%A4%E3%82%A2%E3%83%BB%E3%82%AF%E3%82%BF%E3%82%A4%E3%82%B7","http://dbpedia.org/resource/RC_Aia_Kutaisi"
"1703","Q7276158","RC Antares","rugby union club",NA,"Rugby Club Antares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Antares",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Antares"
"1704","Q7276159","RC Argo","rugby union team","1992-01-01","Rugby Club Argo",NA,NA,"Ukraine",NA,NA,NA,NA,"Kyiv",NA,NA,"RC_Argo",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Argo"
"1705","Q7276160","RC Arka Gdynia","rugby union team","1996-01-01","Arka Gdynia; Buldogi (Bulldogs)",NA,NA,"Poland",NA,NA,NA,NA,NA,NA,NA,"RC_Arka_Gdynia",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Arka_Gdynia"
"1706","Q7276161","RC Aviator","rugby union club","1963-01-01","Rugby Club Aviator",NA,NA,"Ukraine","Ukrainian Rugby Championship",NA,"Spartak Stadium, Kyiv",NA,"Kyiv",NA,NA,"RC_Aviator",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Aviator"
"1707","Q7276162","RC Batyari","rugby union team","2009-01-01","Batyari (Batiars); Rugby Club Batyari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Batyari",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Batyari"
"1708","Q7276164","RC Bystrc","rugby union club","1953-01-01","Rugby Club Bystrc",NA,NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Bystrc",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Bystrc"
"1709","Q7276166","Rugby Union Donau Wien","rugby union team","1999-01-01","RC Donau; Korsaren (Corsairs) - B-team; Piraten (Pirates) - A-team",NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Donau","Rugby_Union_Donau_Wien",NA,NA,NA,"http://dbpedia.org/resource/RC_Donau"
"1710","Q7276167","RC Dnepr","rugby union team","2009-01-01","RC Dnipro; Rugby Club Dnepr",NA,NA,"Ukraine",NA,NA,NA,NA,"Dnipro",NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Dnipro"
"1711","Q7276169","RC Epokha-Polytechnic","rugby union club","1962-01-01","Rugby Club Epokha-Polytechnic",NA,NA,"Ukraine",NA,NA,NA,NA,"Kyiv",NA,NA,"RC_Epokha-Polytechnic",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Epokha-Polytechnic"
"1712","Q7276170","RC Evko-More","rugby union team","1973-01-01","Rugby Club Evko-More",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Evko-More",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Evko-More"
"1713","Q7276171","RC Girnik","rugby union team",NA,"RC Hirnyk; Girnik (Miners); Rugby Club Girnik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Hirnyk",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Hirnyk"
"1714","Q7276172","RC Graz","rugby union club",NA,"Rugby Club Graz",NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Graz",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Graz"
"1715","Q7276176","RC Havířov","rugby union club","1966-01-01","Rugby Club Havířov",NA,NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Hav%C3%AD%C5%99ov",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Havířov"
